add-none,1,100,200,97236,486,0
add-none,1,1000,2000,105136,52,0
add-none,1,10000,20000,224800,11,0
add-none,1,100000,200000,1417562,7,0
add-none,2,100,400,136373,340,0
add-none,2,1000,4000,142742,35,0
add-none,2,10000,40000,665397,16,18446744073709549185
add-none,2,100000,400000,5412976,13,18446744073709536267
add-none,4,100,800,156017,195,18446744073709551533
add-none,4,1000,8000,230853,28,18446744073709551543
add-none,4,10000,80000,1273012,15,18446744073709551606
add-none,4,100000,800000,11407189,14,18446744073709491677
add-none,8,100,1600,277999,173,0
add-none,8,1000,16000,411579,25,18446744073709551370
add-none,8,10000,160000,3649630,22,18446744073709538641
add-none,8,100000,1600000,31496334,19,18446744073709419397
add-none,12,100,2400,362753,151,18446744073709551585
add-none,12,1000,24000,584929,24,18446744073709549452
add-none,12,10000,240000,5076089,21,18446744073709536202
add-none,12,100000,2400000,50390273,20,18446744073709396182
add-yield-none,2,10,40,140383,3509,0
add-yield-none,4,10,80,133039,1662,0
add-yield-none,8,10,160,331397,2071,0
add-yield-none,12,10,240,357228,1488,0
add-yield-none,2,20,80,117207,1465,0
add-yield-none,4,20,160,171741,1073,18446744073709551604
add-yield-none,8,20,320,239194,747,13
add-yield-none,12,20,480,362899,756,0
add-yield-none,2,40,160,153985,962,0
add-yield-none,4,40,320,181025,565,7
add-yield-none,8,40,640,320064,500,22
add-yield-none,12,40,960,417000,434,58
add-yield-none,2,80,320,204258,638,33
add-yield-none,4,80,640,213942,334,31
add-yield-none,8,80,1280,348795,272,48
add-yield-none,12,80,1920,428895,223,225
add-yield-none,2,100,400,195536,488,0
add-yield-none,4,100,800,230965,288,92
add-yield-none,8,100,1600,355751,222,60
add-yield-none,12,100,2400,451560,188,254
add-yield-none,2,1000,4000,810044,202,53
add-yield-none,4,1000,8000,1024966,128,18446744073709551548
add-yield-none,8,1000,16000,1796273,112,18446744073709551101
add-yield-none,12,1000,24000,3167587,131,18446744073709550979
add-yield-none,2,10000,40000,7334264,183,18446744073709551415
add-yield-none,4,10000,80000,9195984,114,63
add-yield-none,8,10000,160000,17708101,110,18446744073709543627
add-yield-none,12,10000,240000,23259852,96,18446744073709549834
add-yield-none,2,100000,400000,56112779,140,2255
add-yield-none,4,100000,800000,93572601,116,18446744073709495959
add-yield-none,8,100000,1600000,173676041,108,18446744073709510539
add-yield-none,12,100000,2400000,231264610,96,18446744073709493842
add-none,2,100,400,108176,270,0
add-none,2,1000,4000,167348,41,264
add-none,2,10000,40000,584071,14,321
add-none,2,100000,400000,5014390,12,18446744073709529733
add-none,8,100,1600,247717,154,52
add-none,8,1000,16000,295544,18,0
add-none,8,10000,160000,3254895,20,18446744073709543388
add-none,8,100000,1600000,30630102,19,18446744073709455597
add-yield-none,2,100,400,200941,502,18446744073709551586
add-yield-none,2,1000,4000,837406,209,62
add-yield-none,2,10000,40000,7340368,183,24
add-yield-none,2,100000,400000,72711714,181,18446744073709547671
add-yield-none,8,100,1600,340330,212,4
add-yield-none,8,1000,16000,1775977,110,18446744073709551193
add-yield-none,8,10000,160000,16364732,102,18446744073709546973
add-yield-none,8,100000,1600000,165670455,103,18446744073709501869
add-yield-m,2,10000,40000,19699237,492,0
add-yield-m,4,10000,80000,65369208,817,0
add-yield-m,8,10000,160000,194763525,1217,0
add-yield-m,12,10000,240000,319867187,1332,0
add-yield-c,2,10000,40000,14115536,352,0
add-yield-c,4,10000,80000,32013193,400,0
add-yield-c,8,10000,160000,82684599,516,0
add-yield-c,12,10000,240000,134465599,560,0
add-yield-s,2,1000,4000,1703749,425,0
add-yield-s,4,1000,8000,5101507,637,0
add-yield-s,8,1000,16000,14655758,915,0
add-yield-s,12,1000,24000,31716654,1321,0
add-m,1,10000,20000,722492,36,0
add-m,2,10000,40000,2519386,62,0
add-m,4,10000,80000,13234582,165,0
add-m,8,10000,160000,29392821,183,0
add-m,12,10000,240000,38558177,160,0
add-c,1,10000,20000,468475,23,0
add-c,2,10000,40000,2246731,56,0
add-c,4,10000,80000,6791569,84,0
add-c,8,10000,160000,17573443,109,0
add-c,12,10000,240000,23108672,96,0
add-s,1,10000,20000,412365,20,0
add-s,2,10000,40000,6114334,152,0
add-s,4,10000,80000,23810160,297,0
add-s,8,10000,160000,88825334,555,0
add-s,12,10000,240000,136161252,567,0
