list-none-none,1,10,1,30,79225,2640
list-none-none,1,100,1,300,108429,361
list-none-none,1,1000,1,3000,3073460,1024
list-none-none,1,10000,1,30000,319216274,10640
list-none-none,1,20000,1,60000,1221166623,20352
list-none-none,8,10,1,240,202294,842
list-none-none,12,10,1,360,290135,805
list-i-none,8,2,1,48,206163,4295
list-i-none,8,4,1,96,207382,2160
list-d-none,2,2,1,12,60222,5018
list-d-none,2,4,1,24,60430,2517
list-d-none,4,16,1,192,112076,583
list-d-none,8,2,1,48,189184,3941
list-d-none,8,4,1,96,179428,1869
list-d-none,8,8,1,192,208328,1085
list-d-none,12,2,1,72,341082,4737
list-d-none,12,4,1,144,304511,2114
list-d-none,12,8,1,288,325285,1129
list-il-none,2,2,1,12,62930,5244
list-il-none,2,4,1,24,64225,2676
list-il-none,2,8,1,48,70199,1462
list-il-none,4,2,1,24,120448,5018
list-il-none,4,4,1,48,102290,2131
list-il-none,4,8,1,96,100614,1048
list-il-none,8,2,1,48,229531,4781
list-il-none,8,4,1,96,217285,2263
list-il-none,8,8,1,192,227408,1184
list-il-none,12,2,1,72,376395,5227
list-dl-none,2,2,1,12,62015,5167
list-dl-none,2,4,1,24,65541,2730
list-dl-none,2,8,1,48,78855,1642
list-dl-none,4,2,1,24,103030,4292
list-dl-none,4,4,1,48,108357,2257
list-dl-none,8,2,1,48,216764,4515
list-dl-none,12,2,1,72,358873,4984
list-dl-none,12,4,1,144,313365,2176
list-i-m,12,32,1,1152,442795,384
list-d-m,12,32,1,1152,438941,381
list-il-m,12,32,1,1152,573687,497
list-dl-m,12,32,1,1152,577893,501
list-i-s,12,32,1,1152,1794545,1557
list-d-s,12,32,1,1152,1377092,1195
list-il-s,12,32,1,1152,1981632,1720
list-dl-s,12,32,1,1152,1673751,1452
list-none-none,1,1000,1,3000,3060837,1020
list-none-m,1,1000,1,3000,3072732,1024
list-none-m,2,1000,1,6000,8706968,1451
list-none-m,4,1000,1,12000,17668774,1472
list-none-m,8,1000,1,24000,34799478,1449
list-none-m,12,1000,1,36000,51285049,1424
list-none-m,16,1000,1,48000,48698950,1014
list-none-m,24,1000,1,72000,72822972,1011
list-none-s,1,1000,1,3000,3116918,1038
list-none-s,2,1000,1,6000,18091374,3015
list-none-s,4,1000,1,12000,141875396,11822
list-none-s,8,1000,1,24000,231012481,9625
list-none-s,12,1000,1,36000,622925687,17303
list-none-s,16,1000,1,48000,1141075480,23772
list-none-s,24,1000,1,72000,2491711329,34607
